gen_id,answer,mfv_code,model
1,4,704,gpt-3.5-turbo
2,3,704,gpt-3.5-turbo
3,3,704,gpt-3.5-turbo
4,3,704,gpt-3.5-turbo
5,4,704,gpt-3.5-turbo
6,2,704,gpt-3.5-turbo
7,4,704,gpt-3.5-turbo
8,3,704,gpt-3.5-turbo
9,3,704,gpt-3.5-turbo
10,3,704,gpt-3.5-turbo
11,3,704,gpt-3.5-turbo
12,3,704,gpt-3.5-turbo
14,3,704,gpt-3.5-turbo
15,3,704,gpt-3.5-turbo
16,2,704,gpt-3.5-turbo
17,3,704,gpt-3.5-turbo
19,3,704,gpt-3.5-turbo
20,4,704,gpt-3.5-turbo
21,3,704,gpt-3.5-turbo
22,3,704,gpt-3.5-turbo
23,3,704,gpt-3.5-turbo
24,3,704,gpt-3.5-turbo
25,3,704,gpt-3.5-turbo
26,4,704,gpt-3.5-turbo
27,1,704,gpt-3.5-turbo
28,3,704,gpt-3.5-turbo
29,3,704,gpt-3.5-turbo
30,4,704,gpt-3.5-turbo
31,3,704,gpt-3.5-turbo
32,3,704,gpt-3.5-turbo
33,3,704,gpt-3.5-turbo
34,3,704,gpt-3.5-turbo
35,3,704,gpt-3.5-turbo
36,3,704,gpt-3.5-turbo
37,2,704,gpt-3.5-turbo
38,3,704,gpt-3.5-turbo
39,2,704,gpt-3.5-turbo
40,3,704,gpt-3.5-turbo
41,3,704,gpt-3.5-turbo
42,2,704,gpt-3.5-turbo
43,3,704,gpt-3.5-turbo
44,3,704,gpt-3.5-turbo
45,2,704,gpt-3.5-turbo
46,3,704,gpt-3.5-turbo
47,3,704,gpt-3.5-turbo
49,3,704,gpt-3.5-turbo
50,3,704,gpt-3.5-turbo
51,2,704,gpt-3.5-turbo
52,3,704,gpt-3.5-turbo
53,3,704,gpt-3.5-turbo
54,3,704,gpt-3.5-turbo
55,3,704,gpt-3.5-turbo
56,3,704,gpt-3.5-turbo
57,3,704,gpt-3.5-turbo
58,3,704,gpt-3.5-turbo
59,3,704,gpt-3.5-turbo
60,2,704,gpt-3.5-turbo
61,2,704,gpt-3.5-turbo
62,2,704,gpt-3.5-turbo
63,2,704,gpt-3.5-turbo
64,3,704,gpt-3.5-turbo
65,4,704,gpt-3.5-turbo
66,2,704,gpt-3.5-turbo
67,4,704,gpt-3.5-turbo
68,4,704,gpt-3.5-turbo
69,2,704,gpt-3.5-turbo
70,3,704,gpt-3.5-turbo
72,3,704,gpt-3.5-turbo
73,3,704,gpt-3.5-turbo
74,1,704,gpt-3.5-turbo
75,3,704,gpt-3.5-turbo
76,3,704,gpt-3.5-turbo
77,3,704,gpt-3.5-turbo
78,4,704,gpt-3.5-turbo
79,2,704,gpt-3.5-turbo
80,3,704,gpt-3.5-turbo
81,3,704,gpt-3.5-turbo
82,3,704,gpt-3.5-turbo
83,3,704,gpt-3.5-turbo
84,2,704,gpt-3.5-turbo
85,3,704,gpt-3.5-turbo
86,2,704,gpt-3.5-turbo
87,2,704,gpt-3.5-turbo
88,3,704,gpt-3.5-turbo
89,5,704,gpt-3.5-turbo
90,4,704,gpt-3.5-turbo
91,3,704,gpt-3.5-turbo
92,1,704,gpt-3.5-turbo
93,3,704,gpt-3.5-turbo
94,3,704,gpt-3.5-turbo
95,3,704,gpt-3.5-turbo
96,3,704,gpt-3.5-turbo
97,3,704,gpt-3.5-turbo
99,4,704,gpt-3.5-turbo
100,3,704,gpt-3.5-turbo
101,3,704,gpt-3.5-turbo
102,2,704,gpt-3.5-turbo
103,4,704,gpt-3.5-turbo
104,3,704,gpt-3.5-turbo
105,3,704,gpt-3.5-turbo
106,3,704,gpt-3.5-turbo
107,4,704,gpt-3.5-turbo
108,3,704,gpt-3.5-turbo
