gen_id,answer,mfv_code,model
1,3,408,gpt-3.5-turbo
2,3,408,gpt-3.5-turbo
3,3,408,gpt-3.5-turbo
4,3,408,gpt-3.5-turbo
5,3,408,gpt-3.5-turbo
6,3,408,gpt-3.5-turbo
9,3,408,gpt-3.5-turbo
10,3,408,gpt-3.5-turbo
11,3,408,gpt-3.5-turbo
12,3,408,gpt-3.5-turbo
13,4,408,gpt-3.5-turbo
14,3,408,gpt-3.5-turbo
15,3,408,gpt-3.5-turbo
17,3,408,gpt-3.5-turbo
18,4,408,gpt-3.5-turbo
19,3,408,gpt-3.5-turbo
20,3,408,gpt-3.5-turbo
22,3,408,gpt-3.5-turbo
23,3,408,gpt-3.5-turbo
25,3,408,gpt-3.5-turbo
26,3,408,gpt-3.5-turbo
27,3,408,gpt-3.5-turbo
28,4,408,gpt-3.5-turbo
29,4,408,gpt-3.5-turbo
30,3,408,gpt-3.5-turbo
31,4,408,gpt-3.5-turbo
33,3,408,gpt-3.5-turbo
34,5,408,gpt-3.5-turbo
35,4,408,gpt-3.5-turbo
36,3,408,gpt-3.5-turbo
37,4,408,gpt-3.5-turbo
39,3,408,gpt-3.5-turbo
40,4,408,gpt-3.5-turbo
41,3,408,gpt-3.5-turbo
42,4,408,gpt-3.5-turbo
43,3,408,gpt-3.5-turbo
44,3,408,gpt-3.5-turbo
45,4,408,gpt-3.5-turbo
46,4,408,gpt-3.5-turbo
47,3,408,gpt-3.5-turbo
50,3,408,gpt-3.5-turbo
51,4,408,gpt-3.5-turbo
52,3,408,gpt-3.5-turbo
53,3,408,gpt-3.5-turbo
54,3,408,gpt-3.5-turbo
55,3,408,gpt-3.5-turbo
56,3,408,gpt-3.5-turbo
57,3,408,gpt-3.5-turbo
59,3,408,gpt-3.5-turbo
60,4,408,gpt-3.5-turbo
61,3,408,gpt-3.5-turbo
62,3,408,gpt-3.5-turbo
63,3,408,gpt-3.5-turbo
65,3,408,gpt-3.5-turbo
66,3,408,gpt-3.5-turbo
67,3,408,gpt-3.5-turbo
68,3,408,gpt-3.5-turbo
69,4,408,gpt-3.5-turbo
70,3,408,gpt-3.5-turbo
72,3,408,gpt-3.5-turbo
73,4,408,gpt-3.5-turbo
75,3,408,gpt-3.5-turbo
76,3,408,gpt-3.5-turbo
77,3,408,gpt-3.5-turbo
78,3,408,gpt-3.5-turbo
79,4,408,gpt-3.5-turbo
80,4,408,gpt-3.5-turbo
81,3,408,gpt-3.5-turbo
82,4,408,gpt-3.5-turbo
83,4,408,gpt-3.5-turbo
85,3,408,gpt-3.5-turbo
86,3,408,gpt-3.5-turbo
87,3,408,gpt-3.5-turbo
89,3,408,gpt-3.5-turbo
90,3,408,gpt-3.5-turbo
92,3,408,gpt-3.5-turbo
93,4,408,gpt-3.5-turbo
94,3,408,gpt-3.5-turbo
95,4,408,gpt-3.5-turbo
96,3,408,gpt-3.5-turbo
97,3,408,gpt-3.5-turbo
99,3,408,gpt-3.5-turbo
100,4,408,gpt-3.5-turbo
101,3,408,gpt-3.5-turbo
103,4,408,gpt-3.5-turbo
104,4,408,gpt-3.5-turbo
105,3,408,gpt-3.5-turbo
106,3,408,gpt-3.5-turbo
107,3,408,gpt-3.5-turbo
108,3,408,gpt-3.5-turbo
