gen_id,answer,mfv_code,model
1,4,610,gpt-3.5-turbo
2,3,610,gpt-3.5-turbo
3,2,610,gpt-3.5-turbo
4,3,610,gpt-3.5-turbo
5,3,610,gpt-3.5-turbo
6,2,610,gpt-3.5-turbo
7,2,610,gpt-3.5-turbo
8,2,610,gpt-3.5-turbo
9,3,610,gpt-3.5-turbo
10,3,610,gpt-3.5-turbo
11,2,610,gpt-3.5-turbo
12,3,610,gpt-3.5-turbo
13,3,610,gpt-3.5-turbo
14,3,610,gpt-3.5-turbo
15,2,610,gpt-3.5-turbo
16,3,610,gpt-3.5-turbo
17,3,610,gpt-3.5-turbo
18,3,610,gpt-3.5-turbo
19,3,610,gpt-3.5-turbo
20,2,610,gpt-3.5-turbo
21,2,610,gpt-3.5-turbo
22,3,610,gpt-3.5-turbo
23,2,610,gpt-3.5-turbo
24,3,610,gpt-3.5-turbo
25,3,610,gpt-3.5-turbo
26,2,610,gpt-3.5-turbo
27,3,610,gpt-3.5-turbo
28,3,610,gpt-3.5-turbo
30,1,610,gpt-3.5-turbo
31,3,610,gpt-3.5-turbo
32,3,610,gpt-3.5-turbo
33,2,610,gpt-3.5-turbo
35,3,610,gpt-3.5-turbo
36,3,610,gpt-3.5-turbo
37,3,610,gpt-3.5-turbo
38,3,610,gpt-3.5-turbo
39,3,610,gpt-3.5-turbo
41,2,610,gpt-3.5-turbo
43,1,610,gpt-3.5-turbo
44,3,610,gpt-3.5-turbo
45,2,610,gpt-3.5-turbo
46,3,610,gpt-3.5-turbo
47,3,610,gpt-3.5-turbo
48,3,610,gpt-3.5-turbo
49,3,610,gpt-3.5-turbo
50,4,610,gpt-3.5-turbo
51,3,610,gpt-3.5-turbo
52,3,610,gpt-3.5-turbo
53,3,610,gpt-3.5-turbo
54,3,610,gpt-3.5-turbo
56,4,610,gpt-3.5-turbo
59,2,610,gpt-3.5-turbo
60,1,610,gpt-3.5-turbo
61,3,610,gpt-3.5-turbo
62,3,610,gpt-3.5-turbo
63,3,610,gpt-3.5-turbo
64,3,610,gpt-3.5-turbo
66,2,610,gpt-3.5-turbo
67,4,610,gpt-3.5-turbo
68,3,610,gpt-3.5-turbo
69,2,610,gpt-3.5-turbo
70,3,610,gpt-3.5-turbo
71,3,610,gpt-3.5-turbo
73,4,610,gpt-3.5-turbo
74,3,610,gpt-3.5-turbo
76,3,610,gpt-3.5-turbo
78,1,610,gpt-3.5-turbo
79,3,610,gpt-3.5-turbo
80,4,610,gpt-3.5-turbo
83,2,610,gpt-3.5-turbo
84,3,610,gpt-3.5-turbo
85,3,610,gpt-3.5-turbo
86,3,610,gpt-3.5-turbo
87,2,610,gpt-3.5-turbo
88,3,610,gpt-3.5-turbo
89,3,610,gpt-3.5-turbo
91,3,610,gpt-3.5-turbo
92,3,610,gpt-3.5-turbo
93,2,610,gpt-3.5-turbo
94,3,610,gpt-3.5-turbo
95,3,610,gpt-3.5-turbo
96,2,610,gpt-3.5-turbo
97,2,610,gpt-3.5-turbo
98,3,610,gpt-3.5-turbo
99,3,610,gpt-3.5-turbo
100,3,610,gpt-3.5-turbo
102,3,610,gpt-3.5-turbo
104,3,610,gpt-3.5-turbo
105,3,610,gpt-3.5-turbo
106,3,610,gpt-3.5-turbo
107,4,610,gpt-3.5-turbo
