gen_id,answer,mfv_code,model
2,4,409,gpt-3.5-turbo
3,3,409,gpt-3.5-turbo
4,5,409,gpt-3.5-turbo
5,3,409,gpt-3.5-turbo
6,4,409,gpt-3.5-turbo
7,4,409,gpt-3.5-turbo
8,4,409,gpt-3.5-turbo
9,4,409,gpt-3.5-turbo
10,4,409,gpt-3.5-turbo
11,4,409,gpt-3.5-turbo
12,3,409,gpt-3.5-turbo
14,3,409,gpt-3.5-turbo
15,4,409,gpt-3.5-turbo
16,4,409,gpt-3.5-turbo
18,4,409,gpt-3.5-turbo
19,4,409,gpt-3.5-turbo
20,4,409,gpt-3.5-turbo
21,4,409,gpt-3.5-turbo
22,3,409,gpt-3.5-turbo
23,3,409,gpt-3.5-turbo
24,4,409,gpt-3.5-turbo
25,4,409,gpt-3.5-turbo
26,4,409,gpt-3.5-turbo
27,3,409,gpt-3.5-turbo
28,3,409,gpt-3.5-turbo
29,3,409,gpt-3.5-turbo
30,3,409,gpt-3.5-turbo
31,3,409,gpt-3.5-turbo
32,3,409,gpt-3.5-turbo
33,4,409,gpt-3.5-turbo
34,4,409,gpt-3.5-turbo
35,3,409,gpt-3.5-turbo
36,4,409,gpt-3.5-turbo
37,3,409,gpt-3.5-turbo
38,3,409,gpt-3.5-turbo
39,4,409,gpt-3.5-turbo
40,4,409,gpt-3.5-turbo
41,3,409,gpt-3.5-turbo
42,5,409,gpt-3.5-turbo
43,4,409,gpt-3.5-turbo
44,4,409,gpt-3.5-turbo
45,3,409,gpt-3.5-turbo
46,4,409,gpt-3.5-turbo
47,4,409,gpt-3.5-turbo
48,3,409,gpt-3.5-turbo
51,3,409,gpt-3.5-turbo
52,3,409,gpt-3.5-turbo
53,5,409,gpt-3.5-turbo
54,3,409,gpt-3.5-turbo
55,4,409,gpt-3.5-turbo
56,3,409,gpt-3.5-turbo
57,4,409,gpt-3.5-turbo
58,3,409,gpt-3.5-turbo
59,4,409,gpt-3.5-turbo
60,3,409,gpt-3.5-turbo
61,4,409,gpt-3.5-turbo
62,3,409,gpt-3.5-turbo
65,4,409,gpt-3.5-turbo
66,4,409,gpt-3.5-turbo
67,4,409,gpt-3.5-turbo
68,3,409,gpt-3.5-turbo
69,3,409,gpt-3.5-turbo
70,4,409,gpt-3.5-turbo
72,4,409,gpt-3.5-turbo
73,4,409,gpt-3.5-turbo
74,4,409,gpt-3.5-turbo
76,3,409,gpt-3.5-turbo
77,4,409,gpt-3.5-turbo
78,4,409,gpt-3.5-turbo
79,4,409,gpt-3.5-turbo
80,4,409,gpt-3.5-turbo
81,3,409,gpt-3.5-turbo
82,4,409,gpt-3.5-turbo
83,3,409,gpt-3.5-turbo
84,3,409,gpt-3.5-turbo
85,3,409,gpt-3.5-turbo
86,4,409,gpt-3.5-turbo
87,3,409,gpt-3.5-turbo
88,4,409,gpt-3.5-turbo
89,4,409,gpt-3.5-turbo
90,3,409,gpt-3.5-turbo
91,3,409,gpt-3.5-turbo
93,4,409,gpt-3.5-turbo
94,5,409,gpt-3.5-turbo
95,4,409,gpt-3.5-turbo
96,4,409,gpt-3.5-turbo
98,4,409,gpt-3.5-turbo
99,3,409,gpt-3.5-turbo
100,3,409,gpt-3.5-turbo
101,4,409,gpt-3.5-turbo
102,4,409,gpt-3.5-turbo
103,3,409,gpt-3.5-turbo
104,4,409,gpt-3.5-turbo
105,4,409,gpt-3.5-turbo
106,5,409,gpt-3.5-turbo
107,4,409,gpt-3.5-turbo
108,4,409,gpt-3.5-turbo
