gen_id,answer,mfv_code,model
1,3,501,gpt-4
2,3,501,gpt-4
3,3,501,gpt-4
4,3,501,gpt-4
5,3,501,gpt-4
6,3,501,gpt-4
7,3,501,gpt-4
8,3,501,gpt-4
9,3,501,gpt-4
10,3,501,gpt-4
11,3,501,gpt-4
12,3,501,gpt-4
13,3,501,gpt-4
14,3,501,gpt-4
15,3,501,gpt-4
16,3,501,gpt-4
17,3,501,gpt-4
18,3,501,gpt-4
19,3,501,gpt-4
20,3,501,gpt-4
21,3,501,gpt-4
22,3,501,gpt-4
23,3,501,gpt-4
24,3,501,gpt-4
25,3,501,gpt-4
26,3,501,gpt-4
27,3,501,gpt-4
28,3,501,gpt-4
29,3,501,gpt-4
30,3,501,gpt-4
31,3,501,gpt-4
32,3,501,gpt-4
33,3,501,gpt-4
34,3,501,gpt-4
35,3,501,gpt-4
36,3,501,gpt-4
37,3,501,gpt-4
38,3,501,gpt-4
39,3,501,gpt-4
40,3,501,gpt-4
41,3,501,gpt-4
42,3,501,gpt-4
43,3,501,gpt-4
44,3,501,gpt-4
45,3,501,gpt-4
46,3,501,gpt-4
47,3,501,gpt-4
48,3,501,gpt-4
49,3,501,gpt-4
50,3,501,gpt-4
51,3,501,gpt-4
52,3,501,gpt-4
53,3,501,gpt-4
54,3,501,gpt-4
55,3,501,gpt-4
56,3,501,gpt-4
57,3,501,gpt-4
58,3,501,gpt-4
59,3,501,gpt-4
60,3,501,gpt-4
61,3,501,gpt-4
62,3,501,gpt-4
63,3,501,gpt-4
64,3,501,gpt-4
65,3,501,gpt-4
66,3,501,gpt-4
67,3,501,gpt-4
68,3,501,gpt-4
69,3,501,gpt-4
70,3,501,gpt-4
71,3,501,gpt-4
72,3,501,gpt-4
73,3,501,gpt-4
74,3,501,gpt-4
75,3,501,gpt-4
76,3,501,gpt-4
77,3,501,gpt-4
78,3,501,gpt-4
79,3,501,gpt-4
80,3,501,gpt-4
81,3,501,gpt-4
82,3,501,gpt-4
83,3,501,gpt-4
84,3,501,gpt-4
85,3,501,gpt-4
86,3,501,gpt-4
87,3,501,gpt-4
88,3,501,gpt-4
89,3,501,gpt-4
90,3,501,gpt-4
91,3,501,gpt-4
92,3,501,gpt-4
93,3,501,gpt-4
94,3,501,gpt-4
95,3,501,gpt-4
96,3,501,gpt-4
97,3,501,gpt-4
98,3,501,gpt-4
99,3,501,gpt-4
100,3,501,gpt-4
101,3,501,gpt-4
102,3,501,gpt-4
103,3,501,gpt-4
104,3,501,gpt-4
105,3,501,gpt-4
106,3,501,gpt-4
107,3,501,gpt-4
108,3,501,gpt-4
