gen_id,answer,mfv_code,model
1,3,111,gpt-3.5-turbo
3,3,111,gpt-3.5-turbo
4,3,111,gpt-3.5-turbo
6,4,111,gpt-3.5-turbo
7,3,111,gpt-3.5-turbo
8,3,111,gpt-3.5-turbo
10,2,111,gpt-3.5-turbo
11,4,111,gpt-3.5-turbo
12,3,111,gpt-3.5-turbo
13,4,111,gpt-3.5-turbo
14,2,111,gpt-3.5-turbo
16,3,111,gpt-3.5-turbo
17,3,111,gpt-3.5-turbo
20,3,111,gpt-3.5-turbo
21,3,111,gpt-3.5-turbo
22,4,111,gpt-3.5-turbo
23,2,111,gpt-3.5-turbo
25,3,111,gpt-3.5-turbo
26,3,111,gpt-3.5-turbo
27,2,111,gpt-3.5-turbo
28,3,111,gpt-3.5-turbo
29,3,111,gpt-3.5-turbo
31,3,111,gpt-3.5-turbo
32,3,111,gpt-3.5-turbo
33,3,111,gpt-3.5-turbo
34,4,111,gpt-3.5-turbo
35,3,111,gpt-3.5-turbo
36,3,111,gpt-3.5-turbo
38,4,111,gpt-3.5-turbo
39,3,111,gpt-3.5-turbo
40,3,111,gpt-3.5-turbo
41,3,111,gpt-3.5-turbo
42,3,111,gpt-3.5-turbo
43,3,111,gpt-3.5-turbo
44,3,111,gpt-3.5-turbo
46,3,111,gpt-3.5-turbo
47,3,111,gpt-3.5-turbo
48,3,111,gpt-3.5-turbo
49,3,111,gpt-3.5-turbo
50,3,111,gpt-3.5-turbo
51,3,111,gpt-3.5-turbo
52,3,111,gpt-3.5-turbo
53,3,111,gpt-3.5-turbo
55,3,111,gpt-3.5-turbo
56,3,111,gpt-3.5-turbo
57,3,111,gpt-3.5-turbo
58,3,111,gpt-3.5-turbo
59,3,111,gpt-3.5-turbo
60,3,111,gpt-3.5-turbo
61,3,111,gpt-3.5-turbo
62,3,111,gpt-3.5-turbo
65,3,111,gpt-3.5-turbo
66,3,111,gpt-3.5-turbo
67,3,111,gpt-3.5-turbo
68,3,111,gpt-3.5-turbo
69,3,111,gpt-3.5-turbo
70,3,111,gpt-3.5-turbo
71,3,111,gpt-3.5-turbo
73,3,111,gpt-3.5-turbo
75,3,111,gpt-3.5-turbo
77,4,111,gpt-3.5-turbo
78,4,111,gpt-3.5-turbo
81,3,111,gpt-3.5-turbo
82,3,111,gpt-3.5-turbo
83,4,111,gpt-3.5-turbo
84,3,111,gpt-3.5-turbo
85,3,111,gpt-3.5-turbo
86,3,111,gpt-3.5-turbo
87,3,111,gpt-3.5-turbo
88,3,111,gpt-3.5-turbo
89,3,111,gpt-3.5-turbo
90,3,111,gpt-3.5-turbo
91,3,111,gpt-3.5-turbo
92,3,111,gpt-3.5-turbo
93,5,111,gpt-3.5-turbo
94,3,111,gpt-3.5-turbo
95,4,111,gpt-3.5-turbo
96,3,111,gpt-3.5-turbo
97,3,111,gpt-3.5-turbo
98,4,111,gpt-3.5-turbo
99,3,111,gpt-3.5-turbo
100,3,111,gpt-3.5-turbo
101,3,111,gpt-3.5-turbo
102,3,111,gpt-3.5-turbo
103,3,111,gpt-3.5-turbo
104,3,111,gpt-3.5-turbo
105,4,111,gpt-3.5-turbo
108,3,111,gpt-3.5-turbo
