gen_id,answer,mfv_code,model
1,3,702,gpt-3.5-turbo
4,5,702,gpt-3.5-turbo
6,3,702,gpt-3.5-turbo
7,3,702,gpt-3.5-turbo
9,3,702,gpt-3.5-turbo
10,3,702,gpt-3.5-turbo
11,3,702,gpt-3.5-turbo
13,3,702,gpt-3.5-turbo
15,3,702,gpt-3.5-turbo
16,3,702,gpt-3.5-turbo
17,3,702,gpt-3.5-turbo
18,4,702,gpt-3.5-turbo
20,4,702,gpt-3.5-turbo
21,4,702,gpt-3.5-turbo
22,2,702,gpt-3.5-turbo
23,3,702,gpt-3.5-turbo
25,3,702,gpt-3.5-turbo
26,4,702,gpt-3.5-turbo
29,4,702,gpt-3.5-turbo
30,3,702,gpt-3.5-turbo
31,3,702,gpt-3.5-turbo
32,3,702,gpt-3.5-turbo
33,3,702,gpt-3.5-turbo
34,3,702,gpt-3.5-turbo
36,3,702,gpt-3.5-turbo
38,4,702,gpt-3.5-turbo
39,4,702,gpt-3.5-turbo
40,3,702,gpt-3.5-turbo
41,3,702,gpt-3.5-turbo
42,3,702,gpt-3.5-turbo
43,3,702,gpt-3.5-turbo
44,3,702,gpt-3.5-turbo
45,3,702,gpt-3.5-turbo
46,3,702,gpt-3.5-turbo
47,4,702,gpt-3.5-turbo
48,4,702,gpt-3.5-turbo
49,2,702,gpt-3.5-turbo
50,3,702,gpt-3.5-turbo
51,4,702,gpt-3.5-turbo
52,3,702,gpt-3.5-turbo
53,3,702,gpt-3.5-turbo
54,3,702,gpt-3.5-turbo
55,3,702,gpt-3.5-turbo
56,3,702,gpt-3.5-turbo
58,4,702,gpt-3.5-turbo
59,2,702,gpt-3.5-turbo
60,3,702,gpt-3.5-turbo
62,5,702,gpt-3.5-turbo
63,5,702,gpt-3.5-turbo
64,3,702,gpt-3.5-turbo
65,3,702,gpt-3.5-turbo
66,2,702,gpt-3.5-turbo
67,3,702,gpt-3.5-turbo
68,3,702,gpt-3.5-turbo
69,4,702,gpt-3.5-turbo
70,3,702,gpt-3.5-turbo
71,3,702,gpt-3.5-turbo
72,3,702,gpt-3.5-turbo
73,3,702,gpt-3.5-turbo
74,4,702,gpt-3.5-turbo
76,3,702,gpt-3.5-turbo
77,4,702,gpt-3.5-turbo
78,3,702,gpt-3.5-turbo
79,3,702,gpt-3.5-turbo
80,3,702,gpt-3.5-turbo
81,3,702,gpt-3.5-turbo
83,2,702,gpt-3.5-turbo
84,3,702,gpt-3.5-turbo
86,4,702,gpt-3.5-turbo
87,3,702,gpt-3.5-turbo
88,3,702,gpt-3.5-turbo
89,2,702,gpt-3.5-turbo
90,3,702,gpt-3.5-turbo
91,1,702,gpt-3.5-turbo
92,4,702,gpt-3.5-turbo
93,4,702,gpt-3.5-turbo
94,5,702,gpt-3.5-turbo
95,3,702,gpt-3.5-turbo
96,3,702,gpt-3.5-turbo
98,3,702,gpt-3.5-turbo
99,3,702,gpt-3.5-turbo
100,3,702,gpt-3.5-turbo
101,4,702,gpt-3.5-turbo
102,5,702,gpt-3.5-turbo
103,3,702,gpt-3.5-turbo
104,3,702,gpt-3.5-turbo
105,3,702,gpt-3.5-turbo
106,3,702,gpt-3.5-turbo
107,3,702,gpt-3.5-turbo
108,3,702,gpt-3.5-turbo
