gen_id,answer,mfv_code,model
1,4,203,gpt-3.5-turbo
2,4,203,gpt-3.5-turbo
3,4,203,gpt-3.5-turbo
4,4,203,gpt-3.5-turbo
5,4,203,gpt-3.5-turbo
6,4,203,gpt-3.5-turbo
7,5,203,gpt-3.5-turbo
8,3,203,gpt-3.5-turbo
9,4,203,gpt-3.5-turbo
10,3,203,gpt-3.5-turbo
12,3,203,gpt-3.5-turbo
13,3,203,gpt-3.5-turbo
14,4,203,gpt-3.5-turbo
15,4,203,gpt-3.5-turbo
16,4,203,gpt-3.5-turbo
17,5,203,gpt-3.5-turbo
18,4,203,gpt-3.5-turbo
19,4,203,gpt-3.5-turbo
21,4,203,gpt-3.5-turbo
22,4,203,gpt-3.5-turbo
23,3,203,gpt-3.5-turbo
24,4,203,gpt-3.5-turbo
25,5,203,gpt-3.5-turbo
27,3,203,gpt-3.5-turbo
28,5,203,gpt-3.5-turbo
29,5,203,gpt-3.5-turbo
30,5,203,gpt-3.5-turbo
31,4,203,gpt-3.5-turbo
32,4,203,gpt-3.5-turbo
33,4,203,gpt-3.5-turbo
34,4,203,gpt-3.5-turbo
35,5,203,gpt-3.5-turbo
36,4,203,gpt-3.5-turbo
37,5,203,gpt-3.5-turbo
38,4,203,gpt-3.5-turbo
39,4,203,gpt-3.5-turbo
40,5,203,gpt-3.5-turbo
41,4,203,gpt-3.5-turbo
42,5,203,gpt-3.5-turbo
43,4,203,gpt-3.5-turbo
44,5,203,gpt-3.5-turbo
45,4,203,gpt-3.5-turbo
46,4,203,gpt-3.5-turbo
47,5,203,gpt-3.5-turbo
48,4,203,gpt-3.5-turbo
49,4,203,gpt-3.5-turbo
50,4,203,gpt-3.5-turbo
51,5,203,gpt-3.5-turbo
52,5,203,gpt-3.5-turbo
53,5,203,gpt-3.5-turbo
54,5,203,gpt-3.5-turbo
55,4,203,gpt-3.5-turbo
56,4,203,gpt-3.5-turbo
57,4,203,gpt-3.5-turbo
58,5,203,gpt-3.5-turbo
59,4,203,gpt-3.5-turbo
60,4,203,gpt-3.5-turbo
61,4,203,gpt-3.5-turbo
62,4,203,gpt-3.5-turbo
63,4,203,gpt-3.5-turbo
65,4,203,gpt-3.5-turbo
66,4,203,gpt-3.5-turbo
67,5,203,gpt-3.5-turbo
68,5,203,gpt-3.5-turbo
69,5,203,gpt-3.5-turbo
70,5,203,gpt-3.5-turbo
71,4,203,gpt-3.5-turbo
72,4,203,gpt-3.5-turbo
73,5,203,gpt-3.5-turbo
74,5,203,gpt-3.5-turbo
75,4,203,gpt-3.5-turbo
76,5,203,gpt-3.5-turbo
77,4,203,gpt-3.5-turbo
78,5,203,gpt-3.5-turbo
79,3,203,gpt-3.5-turbo
80,4,203,gpt-3.5-turbo
81,4,203,gpt-3.5-turbo
82,4,203,gpt-3.5-turbo
83,4,203,gpt-3.5-turbo
84,4,203,gpt-3.5-turbo
86,4,203,gpt-3.5-turbo
87,4,203,gpt-3.5-turbo
88,3,203,gpt-3.5-turbo
89,4,203,gpt-3.5-turbo
90,4,203,gpt-3.5-turbo
91,5,203,gpt-3.5-turbo
92,4,203,gpt-3.5-turbo
93,3,203,gpt-3.5-turbo
94,5,203,gpt-3.5-turbo
95,5,203,gpt-3.5-turbo
97,4,203,gpt-3.5-turbo
98,4,203,gpt-3.5-turbo
99,4,203,gpt-3.5-turbo
100,4,203,gpt-3.5-turbo
103,4,203,gpt-3.5-turbo
105,5,203,gpt-3.5-turbo
106,4,203,gpt-3.5-turbo
107,4,203,gpt-3.5-turbo
108,4,203,gpt-3.5-turbo
