gen_id,answer,mfv_code,model
1,3,509,gpt-3.5-turbo
2,3,509,gpt-3.5-turbo
3,3,509,gpt-3.5-turbo
5,3,509,gpt-3.5-turbo
6,3,509,gpt-3.5-turbo
7,3,509,gpt-3.5-turbo
8,3,509,gpt-3.5-turbo
9,3,509,gpt-3.5-turbo
11,2,509,gpt-3.5-turbo
13,3,509,gpt-3.5-turbo
14,3,509,gpt-3.5-turbo
15,3,509,gpt-3.5-turbo
16,3,509,gpt-3.5-turbo
17,3,509,gpt-3.5-turbo
18,3,509,gpt-3.5-turbo
19,3,509,gpt-3.5-turbo
21,3,509,gpt-3.5-turbo
22,3,509,gpt-3.5-turbo
23,3,509,gpt-3.5-turbo
24,3,509,gpt-3.5-turbo
25,3,509,gpt-3.5-turbo
26,3,509,gpt-3.5-turbo
27,3,509,gpt-3.5-turbo
28,4,509,gpt-3.5-turbo
29,3,509,gpt-3.5-turbo
30,3,509,gpt-3.5-turbo
31,4,509,gpt-3.5-turbo
32,3,509,gpt-3.5-turbo
33,3,509,gpt-3.5-turbo
34,3,509,gpt-3.5-turbo
35,3,509,gpt-3.5-turbo
36,3,509,gpt-3.5-turbo
37,3,509,gpt-3.5-turbo
38,3,509,gpt-3.5-turbo
39,3,509,gpt-3.5-turbo
40,3,509,gpt-3.5-turbo
41,3,509,gpt-3.5-turbo
42,3,509,gpt-3.5-turbo
43,4,509,gpt-3.5-turbo
44,3,509,gpt-3.5-turbo
45,3,509,gpt-3.5-turbo
46,3,509,gpt-3.5-turbo
47,3,509,gpt-3.5-turbo
48,3,509,gpt-3.5-turbo
49,3,509,gpt-3.5-turbo
50,3,509,gpt-3.5-turbo
51,3,509,gpt-3.5-turbo
52,3,509,gpt-3.5-turbo
53,4,509,gpt-3.5-turbo
54,3,509,gpt-3.5-turbo
55,3,509,gpt-3.5-turbo
56,4,509,gpt-3.5-turbo
57,3,509,gpt-3.5-turbo
58,4,509,gpt-3.5-turbo
59,3,509,gpt-3.5-turbo
60,3,509,gpt-3.5-turbo
61,3,509,gpt-3.5-turbo
62,3,509,gpt-3.5-turbo
63,3,509,gpt-3.5-turbo
64,3,509,gpt-3.5-turbo
65,3,509,gpt-3.5-turbo
66,4,509,gpt-3.5-turbo
67,3,509,gpt-3.5-turbo
68,4,509,gpt-3.5-turbo
69,3,509,gpt-3.5-turbo
70,2,509,gpt-3.5-turbo
71,3,509,gpt-3.5-turbo
73,3,509,gpt-3.5-turbo
74,3,509,gpt-3.5-turbo
75,4,509,gpt-3.5-turbo
76,3,509,gpt-3.5-turbo
77,3,509,gpt-3.5-turbo
78,3,509,gpt-3.5-turbo
79,3,509,gpt-3.5-turbo
80,3,509,gpt-3.5-turbo
81,3,509,gpt-3.5-turbo
82,3,509,gpt-3.5-turbo
83,3,509,gpt-3.5-turbo
84,3,509,gpt-3.5-turbo
85,3,509,gpt-3.5-turbo
86,3,509,gpt-3.5-turbo
87,3,509,gpt-3.5-turbo
88,3,509,gpt-3.5-turbo
89,3,509,gpt-3.5-turbo
90,3,509,gpt-3.5-turbo
91,3,509,gpt-3.5-turbo
92,3,509,gpt-3.5-turbo
93,2,509,gpt-3.5-turbo
94,3,509,gpt-3.5-turbo
95,3,509,gpt-3.5-turbo
96,3,509,gpt-3.5-turbo
97,3,509,gpt-3.5-turbo
98,3,509,gpt-3.5-turbo
100,3,509,gpt-3.5-turbo
101,3,509,gpt-3.5-turbo
102,3,509,gpt-3.5-turbo
103,3,509,gpt-3.5-turbo
104,3,509,gpt-3.5-turbo
106,3,509,gpt-3.5-turbo
107,3,509,gpt-3.5-turbo
108,5,509,gpt-3.5-turbo
