agent,id,condition,mfv,mfv_codes
Gemini Pro,13,vq,3,509
Gemini Pro,13,vq,3,706
Gemini Pro,13,vq,4,402
Gemini Pro,13,vq,2,102
Gemini Pro,13,vq,2,702
Gemini Pro,13,vq,5,208
Gemini Pro,13,vq,5,711
Gemini Pro,13,vq,4,404
Gemini Pro,13,vq,4,601
Gemini Pro,13,vq,3,802
Gemini Pro,13,vq,5,716
Gemini Pro,13,vq,5,801
Gemini Pro,13,vq,2,403
Gemini Pro,13,vq,3,709
Gemini Pro,13,vq,4,201
Gemini Pro,13,vq,4,710
Gemini Pro,13,vq,3,204
Gemini Pro,13,vq,3,112
Gemini Pro,13,vq,4,205
Gemini Pro,13,vq,5,703
Gemini Pro,13,vq,3,602
Gemini Pro,13,vq,4,504
Gemini Pro,13,vq,5,705
Gemini Pro,13,vq,3,507
Gemini Pro,13,vq,3,410
Gemini Pro,13,vq,2,715
Gemini Pro,13,vq,4,303
Gemini Pro,13,vq,3,502
Gemini Pro,13,vq,4,409
Gemini Pro,13,vq,5,105
Gemini Pro,13,vq,5,405
Gemini Pro,13,vq,5,803
Gemini Pro,13,vq,3,805
Gemini Pro,13,vq,5,608
Gemini Pro,13,vq,2,202
Gemini Pro,13,vq,4,104
Gemini Pro,13,vq,4,611
Gemini Pro,13,vq,5,108
Gemini Pro,13,vq,5,109
Gemini Pro,13,vq,3,610
Gemini Pro,13,vq,4,510
Gemini Pro,13,vq,4,408
Gemini Pro,13,vq,3,207
Gemini Pro,13,vq,4,614
Gemini Pro,13,vq,4,114
Gemini Pro,13,vq,3,206
Gemini Pro,13,vq,4,810
Gemini Pro,13,vq,3,110
Gemini Pro,13,vq,5,712
Gemini Pro,13,vq,3,103
Gemini Pro,13,vq,4,707
Gemini Pro,13,vq,5,113
Gemini Pro,13,vq,5,704
Gemini Pro,13,vq,4,714
Gemini Pro,13,vq,5,713
Gemini Pro,13,vq,4,111
Gemini Pro,13,vq,4,411
Gemini Pro,13,vq,3,701
Gemini Pro,13,vq,3,604
Gemini Pro,13,vq,5,808
Gemini Pro,13,vq,3,203
Gemini Pro,13,vq,5,501
Gemini Pro,13,vq,4,612
Gemini Pro,13,vq,4,804
Gemini Pro,13,vq,5,503
Gemini Pro,13,vq,3,605
Gemini Pro,13,vq,2,406
Gemini Pro,13,vq,4,603
Gemini Pro,52,qv,3,605
Gemini Pro,52,qv,3,114
Gemini Pro,52,qv,2,704
Gemini Pro,52,qv,4,402
Gemini Pro,52,qv,5,406
Gemini Pro,52,qv,4,111
Gemini Pro,52,qv,2,715
Gemini Pro,52,qv,5,206
Gemini Pro,52,qv,4,108
Gemini Pro,52,qv,5,411
Gemini Pro,52,qv,5,208
Gemini Pro,52,qv,5,802
Gemini Pro,52,qv,4,405
Gemini Pro,52,qv,3,203
